,City,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Lat,Lng
352,Sliven,49.8,92,92,4.76,BG,1638768995,42.6858,26.3292
353,Ust-Tsilma,7.02,93,75,7.34,RU,1638768995,65.441,52.1498
354,Wuwei,38.75,27,51,6.93,CN,1638768996,37.9281,102.6414
355,Los Llanos de Aridane,62.35,72,75,4.0,ES,1638768996,28.6585,-17.9182
356,Trofors,18.75,92,6,5.48,NO,1638768997,65.5333,13.4063
357,Tricase,49.35,81,98,14.74,IT,1638768997,39.9304,18.3553
358,Haines Junction,-2.45,100,100,1.36,CA,1638768998,60.7522,-137.5108
359,Abay,32.38,100,100,10.38,KZ,1638768998,49.6311,72.8539
360,Daru,84.78,66,97,9.19,PG,1638768999,-9.0763,143.2092
361,Lianzhou,70.21,28,40,5.64,CN,1638768998,24.7811,112.3825
362,Anadyr,-3.5,83,90,38.01,RU,1638769000,64.75,177.4833
363,Vágur,41.25,77,100,32.64,FO,1638769000,61.4732,-6.8119
364,Tacna,58.73,94,91,2.46,PE,1638769001,-18.0056,-70.2483
365,Shumyachi,27.52,87,100,6.62,RU,1638769001,53.8583,32.4242
366,Kuandian,37.24,95,100,3.44,CN,1638769001,40.7286,124.7847
367,Keti Bandar,79.97,25,2,8.14,PK,1638769002,24.1447,67.4497
368,Dingle,81.5,73,82,10.6,PH,1638769002,10.9995,122.6711
369,Dunedin,54.81,66,96,3.0,NZ,1638769003,-45.8742,170.5036
370,Yenagoa,77.72,90,100,3.44,NG,1638769003,4.9247,6.2642
371,Southbridge,41.38,71,88,1.99,US,1638769004,42.0751,-72.0334
372,Ust-Nera,-19.21,98,100,5.17,RU,1638769004,64.5667,143.2
373,Aktash,23.68,64,100,3.31,RU,1638769005,50.3,87.7333
374,Samarai,84.13,71,88,13.27,PG,1638769005,-10.6167,150.6667
375,Yakeshi,16.32,89,9,11.16,CN,1638769006,49.2833,120.7333
376,Richards Bay,82.04,64,65,10.76,ZA,1638769006,-28.783,32.0377
377,Denpasar,83.86,83,20,17.27,ID,1638769007,-8.65,115.2167
378,Flinders,71.19,65,100,9.86,AU,1638769007,-34.5833,150.8552
379,Dhubri,77.72,61,52,6.62,IN,1638769008,26.0333,89.9667
380,Murray,45.3,54,1,1.99,US,1638768964,40.6669,-111.888
381,Abalak,8.46,86,100,2.15,RU,1638769008,58.1286,68.5944
382,Torres,70.83,92,99,5.06,BR,1638769009,-29.3353,-49.7269
383,Pitimbu,79.39,79,44,14.29,BR,1638769009,-7.4706,-34.8086
384,Champerico,78.04,74,2,4.41,GT,1638769010,14.3,-91.9167
385,Pevek,-9.63,96,100,17.31,RU,1638769010,69.7008,170.3133
386,Conde,78.26,89,20,6.91,BR,1638769011,-7.2597,-34.9075
387,Calabozo,76.06,72,49,7.05,VE,1638769011,8.9242,-67.4293
388,Žarnovica,36.82,99,100,2.95,SK,1638769012,48.4812,18.7157
389,Coolum Beach,79.34,71,75,8.95,AU,1638769012,-26.5333,153.1
390,São Luiz Gonzaga,65.25,86,8,8.16,BR,1638769013,-28.4083,-54.9608
391,Beringovskiy,-1.57,87,96,13.42,RU,1638768790,63.05,179.3167
392,Pisco,66.25,82,0,10.36,PE,1638769013,-13.7,-76.2167
393,Kothi,77.07,45,1,5.75,IN,1638769014,24.75,80.7833
394,Tambura,81.5,43,97,1.45,SS,1638769014,5.6,27.4667
395,Sept-Îles,9.12,66,20,3.44,CA,1638769014,50.2001,-66.3821
396,Nizwá,72.88,41,0,4.18,OM,1638769015,22.9333,57.5333
397,Atar,65.03,12,100,4.99,MR,1638769015,20.5169,-13.0499
398,Ostrovnoy,11.14,74,92,23.22,RU,1638768749,68.0531,39.5131
399,Havøysund,29.28,89,100,31.83,NO,1638769016,70.9963,24.6622
400,Damietta,60.69,62,30,4.83,EG,1638769016,31.4165,31.8133
401,Siverek,43.41,41,0,3.31,TR,1638769017,37.755,39.3167
402,Fort Nelson,-20.61,76,40,8.05,CA,1638768821,58.8053,-122.7002
403,Margate,39.31,96,100,5.82,GB,1638769018,51.3813,1.3862
404,Huilong,63.99,59,0,4.34,CN,1638769018,31.8111,121.655
405,Coquimbo,57.97,87,70,3.02,CL,1638769019,-29.9533,-71.3436
406,Koronowo,32.54,93,100,11.56,PL,1638769019,53.3137,17.937
407,Pirojpur,70.63,96,100,6.69,BD,1638769020,22.5667,89.9833
408,Killybegs,45.52,68,100,27.54,IE,1638769020,54.6333,-8.45
409,Pulupandan,82.71,69,76,16.84,PH,1638769021,10.5167,122.8167
410,Canindé,78.3,76,35,4.38,BR,1638768803,-4.3589,-39.3117
411,Hirara,78.66,53,40,14.97,JP,1638769021,24.8,125.2833
412,Bhindār,70.05,44,4,8.16,IN,1638769022,24.5,74.1833
413,Egvekinot,-2.56,83,96,18.05,RU,1638769022,66.3167,-179.1667
414,Balabac,84.02,70,73,15.68,PH,1638769023,7.9868,117.0645
415,Cochabamba,56.95,96,90,3.44,BO,1638769023,-17.3895,-66.1568
416,Posevnaya,24.51,90,100,9.48,RU,1638769024,54.3006,83.3297
417,Vostochnyy,26.87,97,100,4.94,RU,1638769024,55.8167,37.8667
418,Aripuanã,72.23,96,100,1.03,BR,1638769025,-9.1667,-60.6333
419,Hammerfest,28.85,74,40,12.66,NO,1638769025,70.6634,23.6821
420,Cherdyn',-16.78,100,96,1.95,RU,1638769025,60.403,56.4787
421,Morón,67.96,86,1,3.0,AR,1638769026,-34.6534,-58.6198
422,Barra do Garças,70.52,97,44,1.14,BR,1638769026,-15.89,-52.2567
423,North Branch,30.29,89,95,21.99,US,1638769027,45.5113,-92.9802
424,Maku,41.13,43,0,2.42,IR,1638769027,39.2911,44.4521
425,Longhua,75.16,18,72,5.55,CN,1638769028,23.6137,114.1919
426,Binzhou,52.27,49,4,18.1,CN,1638769028,37.3667,118.0167
427,Kokopo,81.66,79,60,2.21,PG,1638769029,-4.352,152.2633
428,Havelock,55.35,92,80,5.28,US,1638769029,34.8791,-76.9013
429,Iberia,68.11,91,100,9.57,US,1638769029,29.9502,-91.7507
430,Gautier,68.34,95,98,1.99,US,1638769030,30.3858,-88.6117
431,San Quintín,58.48,86,0,7.9,MX,1638769030,30.4833,-115.95
432,Narasannapeta,79.81,76,61,5.73,IN,1638769031,18.4167,84.05
433,Sfântu Gheorghe,42.26,81,90,2.15,RO,1638769032,45.8667,25.7833
434,Leh,22.91,76,95,4.27,IN,1638769032,34.1667,77.5833
435,Visby,25.05,80,40,6.91,SE,1638769032,57.6409,18.296
436,Tinaquillo,68.36,94,69,3.49,VE,1638769033,9.9186,-68.3047
437,Zhigansk,-25.38,97,100,10.22,RU,1638769033,66.7697,123.3711
438,Husavik,39.11,84,100,12.68,IS,1638768898,66.0449,-17.3389
439,Ilulissat,26.62,50,88,10.36,GL,1638769035,69.2167,-51.1
440,Mount Gambier,69.71,52,19,17.27,AU,1638769035,-37.8333,140.7667
441,Karla,-0.44,85,75,3.44,EE,1638769035,59.3723,24.9275
442,La Rioja,37.49,97,100,9.15,ES,1638769036,42.25,-2.5
443,Ulaangom,14.61,86,100,1.52,MN,1638769036,49.9811,92.0667
444,Santa Vitória do Palmar,62.22,92,44,5.84,BR,1638769017,-33.5189,-53.3681
445,Hambantota,86.34,84,40,2.3,LK,1638769037,6.1241,81.1185
446,Port Macquarie,73.89,69,91,7.18,AU,1638769002,-31.4333,152.9167
447,Pangoa,68.02,99,100,0.51,PE,1638769038,-12.1167,-73.0
448,Baley,19.81,74,16,7.11,RU,1638769038,51.6,116.6333
449,Pontianak,87.78,66,75,9.22,ID,1638769038,-0.0333,109.3333
450,Santa Elena,70.68,79,86,7.61,EC,1638769039,-2.2333,-80.85
451,Alta Floresta,71.42,98,100,0.76,BR,1638769039,-9.8756,-56.0861
452,Moose Factory,10.4,85,90,6.91,CA,1638769040,51.2585,-80.6094
453,Broken Hill,80.31,24,40,6.91,AU,1638769040,-31.95,141.4333
454,Šibenik,44.26,68,86,8.01,HR,1638768746,43.7272,15.9058
455,Nabire,91.24,58,85,7.38,ID,1638769041,-3.3667,135.4833
456,Ossora,11.26,82,75,3.89,RU,1638769041,59.2353,163.0719
457,Ilhéus,70.74,94,17,2.39,BR,1638769042,-14.7889,-39.0494
458,Zelenodolsk,15.91,75,35,4.72,RU,1638769042,55.8438,48.5178
459,Krasnyy Chikoy,26.51,67,22,0.36,RU,1638769043,50.3643,108.7512
460,Biu,67.68,25,81,7.45,NG,1638769043,10.6129,12.1946
461,Houma,70.0,93,100,5.99,US,1638769044,29.5958,-90.7195
462,Miles City,10.51,78,75,5.75,US,1638768791,46.4083,-105.8406
463,Ciudad Juárez,62.11,27,1,5.75,MX,1638769045,31.7333,-106.4833
464,Batticaloa,82.8,72,5,4.7,LK,1638769045,7.7102,81.6924
465,Giohar,82.44,58,13,13.04,SO,1638769046,2.7809,45.5005
466,Kavaratti,80.98,69,76,12.3,IN,1638769046,10.5669,72.642
467,Riviere-au-Renard,15.8,60,93,8.48,CA,1638769047,48.9957,-64.3971
468,Zaraza,70.81,93,60,2.57,VE,1638769047,9.3503,-65.3245
469,Melfort,-14.67,70,23,12.66,CA,1638769048,52.8667,-104.6177
470,Nara,58.32,75,100,3.94,JP,1638769048,34.6851,135.8049
471,La Libertad,70.75,80,83,8.19,EC,1638769048,-2.2333,-80.9
472,Asău,32.95,82,100,2.84,RO,1638769049,46.4333,26.4
473,Mahon,46.96,76,40,8.05,ES,1638769049,39.8885,4.2658
474,Bartica,75.52,99,99,0.98,GY,1638769050,6.4,-58.6167
475,Iqaluit,10.13,72,90,13.0,CA,1638769051,63.7506,-68.5145
476,Eydhafushi,82.78,71,21,8.84,MV,1638769051,5.1033,73.0708
477,Ikare,69.55,64,40,2.17,NG,1638769052,7.4913,5.2322
478,Barra dos Coqueiros,77.02,88,75,9.22,BR,1638769000,-10.9089,-37.0386
479,Blythe,63.05,19,1,3.44,US,1638769053,33.6103,-114.5964
480,Doha,69.78,54,0,5.75,QA,1638768802,25.2867,51.5333
481,Leshukonskoye,3.4,92,37,5.35,RU,1638769054,64.8989,45.7622
482,Luanda,77.72,83,100,5.75,AO,1638769054,-8.8368,13.2343
483,Valparaíso,56.39,93,7,5.84,CL,1638768988,-33.0393,-71.6273
484,Tuatapere,55.81,58,71,8.9,NZ,1638769055,-46.1333,167.6833
485,Kamaishi,43.75,74,49,11.1,JP,1638769056,39.2667,141.8833
486,Deputatsky,-20.36,99,100,0.58,RU,1638769056,69.3,139.9
487,Morant Bay,80.22,84,13,10.76,JM,1638769057,17.8815,-76.4093
488,Cabo San Lucas,75.51,72,100,5.41,MX,1638768835,22.8909,-109.9124
489,Lethem,76.35,82,97,9.37,GY,1638769057,3.3803,-59.7968
490,Heraclea,44.76,53,0,2.51,TR,1638769058,37.5133,34.0467
491,Tual,83.95,75,100,12.3,ID,1638769058,-5.6667,132.75
492,Rājāpur,78.73,43,2,3.62,IN,1638769058,25.3833,81.15
493,Guerrero Negro,61.18,89,0,9.35,MX,1638769059,27.9769,-114.0611
494,Nelson Bay,73.45,64,100,10.51,AU,1638769059,-32.7167,152.15
495,Wanaka,54.1,66,100,5.99,NZ,1638769060,-44.7,169.15
496,Béjar,39.58,96,69,3.87,ES,1638769060,40.3864,-5.7634
497,Kalmunai,84.02,68,13,4.85,LK,1638769061,7.4167,81.8167
498,Paphos,53.51,76,20,10.36,CY,1638769061,34.7667,32.4167
499,Faya,57.72,28,0,3.53,SA,1638769061,18.3851,42.4509
500,Edgewater,69.1,89,70,4.27,US,1638769062,28.9889,-80.9023
501,Cayenne,77.09,92,75,1.14,GF,1638769062,4.9333,-52.3333
502,Verkhnevilyuysk,-27.04,92,96,5.57,RU,1638769063,63.4453,120.3167
503,Vardø,14.2,78,88,21.41,NO,1638769063,70.3705,31.1107
504,Nishihara,74.86,50,40,16.11,JP,1638769064,26.1842,127.7558
505,Phalombe,80.65,54,89,8.21,MW,1638769064,-15.8064,35.6507
506,Nuuk,25.41,80,75,17.27,GL,1638769065,64.1835,-51.7216
507,Tigil',23.85,83,100,24.58,RU,1638769065,57.8,158.6667
508,Marabu,78.94,89,40,10.36,MY,1638769066,4.4148,114.0089
509,Slave Lake,5.38,65,0,2.89,CA,1638769066,55.2834,-114.769
510,Buchanan,77.59,85,62,3.22,LR,1638769067,5.8808,-10.0467
511,Zonguldak,38.25,75,8,4.94,TR,1638769067,41.25,31.8333
512,Baykit,1.06,90,100,1.92,RU,1638769068,61.67,96.37
513,Tessalit,60.75,20,23,8.12,ML,1638769068,20.1986,1.0114
514,Pimentel,65.17,88,100,9.46,PE,1638769069,-6.8367,-79.9342
515,Vila Franca do Campo,61.21,84,26,1.9,PT,1638769069,37.7167,-25.4333
516,Liku,86.72,66,91,9.93,ID,1638769070,-0.7275,119.8922
517,Xixiang,58.15,21,9,6.82,CN,1638769070,35.1628,112.865
518,Winnemucca,30.25,69,1,5.75,US,1638769071,40.973,-117.7357
519,Novozaimka,21.04,94,100,2.24,RU,1638769071,56.4857,66.9241
520,Shaowu,65.5,43,0,1.52,CN,1638769072,27.3409,117.4831
521,Bang Saphan,85.95,63,62,11.79,TH,1638769072,11.2126,99.5117
522,High Level,-30.89,75,1,0.0,CA,1638769072,58.5169,-117.136
523,Tegul'det,30.94,89,100,12.8,RU,1638769073,57.3064,88.1667
524,Alamosa,33.31,49,1,3.44,US,1638769073,37.4695,-105.87
525,Zhuhai,76.91,49,0,11.5,CN,1638768932,22.2769,113.5678
526,Hailey,30.06,47,1,4.61,US,1638768789,43.5196,-114.3153
527,Achalpur,81.72,35,0,2.73,IN,1638769074,21.2572,77.5086
528,St. George's,80.28,74,20,11.5,GD,1638769075,12.0564,-61.7485
529,Jericó,60.71,99,100,1.48,CO,1638769075,5.7921,-75.786
530,Tierra Nueva,58.37,50,100,1.72,MX,1638769076,21.6833,-100.5667
531,Konakovo,15.26,94,100,6.31,RU,1638769076,56.7,36.7667
532,Kamenka,28.22,63,100,7.56,RU,1638769076,51.3223,42.7678
533,Nesna,17.71,93,19,19.98,NO,1638769077,66.1967,13.0213
534,Viedma,63.23,48,0,12.01,AR,1638769077,-40.8135,-62.9967
535,San Rafael,66.24,71,1,5.03,AR,1638769044,-34.6177,-68.3301
536,Hong Kong,77.18,45,62,1.01,HK,1638769042,22.2855,114.1577
537,Olafsvik,41.16,74,95,21.97,IS,1638769078,64.8945,-23.7142
538,Rominimbang,78.1,69,62,5.08,PH,1638769079,7.5,124.3
539,Itiruçu,61.18,99,28,2.06,BR,1638769079,-13.5317,-40.1503
540,Seoul,52.99,37,0,2.3,KR,1638769080,37.5683,126.9778
541,Tingo María,68.92,98,100,0.67,PE,1638769080,-9.2895,-76.0088
542,Manta,73.18,88,75,11.5,EC,1638769080,-0.95,-80.7333
543,Arman',-11.25,83,6,6.78,RU,1638769081,59.7,150.1667
544,Söderhamn,14.99,86,98,5.19,SE,1638769081,61.3037,17.0592
545,Wyndham,49.78,74,90,1.01,US,1638769082,37.6985,-77.6125
546,Vuktyl,-2.47,97,93,2.42,RU,1638769082,63.8567,57.3094
547,Iquique,65.23,68,100,1.77,CL,1638769083,-20.2208,-70.1431
548,Māngrol,80.76,45,0,9.51,IN,1638769084,21.1167,70.1167
549,Chipata,79.92,44,13,12.8,ZM,1638769084,-13.6333,32.65
550,Zarubino,39.47,65,58,5.66,RU,1638769084,42.63,131.0922
551,Limulunga,75.42,65,84,2.01,ZM,1638769085,-15.0969,23.1376
552,Gnjilane,46.72,89,95,2.46,XK,1638769086,42.4604,21.4699
553,Nālchiti,70.48,97,100,7.18,BD,1638769086,22.6333,90.2833
554,Muli,83.03,74,19,14.99,MV,1638769086,2.9167,73.5667
555,Killam,-2.61,77,16,8.05,CA,1638769087,52.7834,-111.8518
556,Mareeba,90.45,48,12,9.13,AU,1638769087,-17.0,145.4333
557,Caravelas,72.61,91,4,4.74,BR,1638769088,-17.7125,-39.2481
558,Hay River,-20.22,76,1,4.61,CA,1638769088,60.8156,-115.7999
559,Choya,33.8,74,99,2.64,RU,1638769089,52.0108,86.5467
560,Saint Anthony,30.65,80,90,5.01,US,1638768948,45.0205,-93.218
561,Naze,68.92,59,90,12.93,JP,1638769089,28.3667,129.4833
562,Saint-Augustin,19.29,67,5,8.86,CA,1638769090,51.226,-58.6502
563,Rosario,67.95,78,0,1.01,AR,1638769090,-32.9468,-60.6393
564,Hukuntsi,74.19,58,0,8.84,BW,1638769091,-24.0,21.75
565,Beira,82.49,83,20,1.14,MZ,1638769091,-19.8436,34.8389
566,Altay,32.11,65,58,3.69,CN,1638769092,47.8667,88.1167
567,Shumskiy,30.74,68,97,2.46,RU,1638769092,54.8318,99.1328
568,Berlevåg,27.93,91,98,18.9,NO,1638769093,70.8578,29.0864
569,San Fernando,87.89,46,32,9.15,PH,1638769093,15.0286,120.6898
570,Itarema,80.67,79,58,15.5,BR,1638769094,-2.9248,-39.9167
571,Punta Cardon,79.07,84,85,23.71,VE,1638769094,11.6581,-70.215
572,Talara,66.52,87,100,14.09,PE,1638769094,-4.5772,-81.2719
573,Buin,74.73,65,0,1.12,CL,1638769095,-33.7333,-70.75
574,Torrington,48.15,75,93,3.96,US,1638769095,41.8007,-73.1212
575,Srīvardhan,80.83,63,2,2.68,IN,1638769096,18.0333,73.0167
576,Mayor Pablo Lagerenza,69.89,87,100,4.09,PY,1638769096,-19.9309,-60.7718
577,Manzanares,37.62,88,21,7.23,ES,1638769097,38.9991,-3.3699
578,Byron Bay,76.95,80,75,7.81,AU,1638769097,-28.65,153.6167
579,Tombouctou,56.84,21,90,9.8,ML,1638769098,20.0,-3.0
580,Três Lagoas,74.5,72,18,2.46,BR,1638769098,-20.7511,-51.6783
581,Comodoro Rivadavia,57.06,82,0,13.8,AR,1638769099,-45.8667,-67.5
582,Mutsu,50.0,64,49,5.39,JP,1638769099,41.2894,141.2169
583,Mossamedes,72.41,66,9,2.55,AO,1638769100,-15.1961,12.1522
584,Mogzon,25.39,61,39,8.34,RU,1638769100,51.7435,111.9606
585,Pihuamo,66.78,80,100,2.98,MX,1638769101,19.2499,-103.3828
586,Gīdolē,64.65,41,9,4.81,ET,1638769101,5.65,37.3667
587,Krishnapur,75.02,94,90,11.5,IN,1638769102,22.6703,88.2694
588,Rafaela,70.05,88,2,6.64,AR,1638769102,-31.2503,-61.4867
589,Tommot,3.69,90,100,5.82,RU,1638769103,58.9564,126.2925
